ABCC11,7073,319,724,535,33,1189,646,1180,391,1238,2000,53,1414,211,3698,7312
ABCC12,162,2,22,9,0,19,5,41,1,77,63,5,60,2,310,135
ABCC13,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0
ABCC2,121,75,2860,580,1248,25,2717,62,611,1894,1794,290,3194,4312,142,1155
ABCC3,559,95,2323,55,712,18,2664,684,827,1335,2063,322,191,4605,54,2017
ABCC4,1749,976,1874,1162,1045,2087,943,1172,1537,498,1560,460,1279,1042,924,1686
ABCC5,1346,1348,1868,672,2069,2602,833,2608,1509,970,1182,2283,1883,1359,1113,543
ABCC5-AS1,9,7,10,4,5,0,0,20,1,7,4,22,8,1,10,4
ABCC6,1,3,135,3,25,4,306,1,62,165,59,16,4,199,0,92
ABCC6-2,10,2,150,0,55,0,118,7,65,88,112,37,9,297,0,153
ABCC6P1,5,3,122,0,25,0,85,2,45,71,65,35,5,161,0,86
ABCC6P2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABCC8,0,0,0,8,0,10,16,2,5,5,4,2,7,4,4,5
ABCC9,266,119,1670,122,446,72,1706,124,646,819,863,131,174,1593,77,1443
ABCD1,3202,779,3565,3687,1277,4584,3971,4584,2359,833,2907,1024,1893,2529,2452,4727
ABCD2,11,20,54,13,58,4,73,238,44,39,91,14,20,36,35,132
ABCD3,1225,703,3284,2992,1304,2328,2658,1696,2409,998,1467,539,1430,3380,932,1940
ABCD4,781,606,1043,847,619,640,769,682,682,572,831,522,596,827,481,1123
ABCE1,2805,1830,3466,3053,2306,3631,2406,1761,4075,1141,2506,675,2661,3889,1661,3202
ABCF1,1,0,3,1,8,1,0,0,1,4,0,1,4,1,6,0
ABCF1-2,0,1,0,4,0,0,0,0,0,1,0,1,0,0,1,0
ABCF1-3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ABCF1-4,0,1,1,4,1,0,0,0,0,1,0,1,0,0,0,0
ABCF1-5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ABCF1-6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
ABCF1-7,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
ABCF2,1848,894,2224,1984,1646,2351,1429,1622,2006,800,1505,865,1730,1998,966,2484
ABCF3,803,375,1205,934,842,941,960,940,936,507,1001,679,681,1279,544,1154
